Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
3/1/25,USAID,Apple Mobility Mobile Device IDIQ,"$63,423 ",Delivery/Task Order,Final,72062024F00003,0,,8/26/24,7200,720620,USAID/NIGERIA,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72062024F00003&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,Curved monitor - to procure 80 units for USAID/Nepal,"$63,358 ",Purchase Order,Final,72036724P00009,0,,4/9/24,7200,720367,USAID/NEPAL,ZG8PLF5N4NL1,INTELLECTECHS INC,VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",7E20,"IT and Telecom - End User: Help Desk;Tier 1-2,Workspac",423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPME,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72036724P00009&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,4 Capel Staff House,"$63,321 ",Purchase Order,Final,72061324P00048,P00002,OTHER ADMINISTRATIVE ACTION,1/17/25,7200,720613,USAID/ZIMBABWE,HT3QDFNZP8E7,SANDENT TRADING (PRIVATE) LIMITED,,,"Corporate Entity, Tax Exempt",,,Y1FZ,CONSTRUCTION OF OTHER RESIDENTIAL BUILDINGS,236118,RESIDENTIAL REMODELERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061324P00048&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Modification to change the Period of Performance
(Limit 250 characters)
Start date January 12 2025 end date July 11 2025","$63,000 ",Definitive Contract,Final,72066724C00003,P00001,OTHER ADMINISTRATIVE ACTION,1/7/25,7200,720667,USAID/SUDAN,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,812990,ALL OTHER PERSONAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066724C00003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Procurement of 250 course seats under the eCornell platform. GSA
Contract No. GS-02F-170AA.","$62,972 ",Delivery/Task Order,Final,72051924M00002,0,,9/18/24,7200,720519,USAID/EL SALVADOR,EQA8NBEN9WD5,CORNELL UNIVERSITY,NEW YORK 19,148532801,"
Corporate Entity, Tax Exempt
Educational Institution","Non Profit Organization
Educational Entities
1862 Land Grant College
Private University or College
Veterinary College",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72051924M00002&modNumber=0&idvAgencyID=&idvPIID=GS02F170AA&contractType=AWARD
3/1/25,USAID,"1) Complete approved SOW variations
Current: 229
2) Add additional funding to fund the additional work","$61,320 ",Purchase Order,Final,72061324P00024,P00002,OTHER ADMINISTRATIVE ACTION,1/7/25,7200,720613,USAID/ZIMBABWE,U9NHKF62DNN5,PRAISE CONSTRUCTION (PRIVATE) LIM,,,For Profit Organization,,,R699,SUPPORT- ADMINISTRATIVE: OTHER,236118,RESIDENTIAL REMODELERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061324P00024&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Purchase of Vehicle for the Office,"$61,082 ",Purchase Order,Final,72052624P00016,0,,8/8/24,7200,720526,USAID/PARAGUAY,GVAKTC49BNJ8,FCA US LLC,MICHIGAN 11,483262766,For Profit Organization,,,2310,PASSENGER MOTOR VEHICLES,336320,MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQ,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052624P00016&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Request for BPA Call Order to provide support under the Human,"$60,783 ",BPA Call,Final,72051924F50012,0,,8/22/24,7200,720519,USAID/EL SALVADOR,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),DISTRICT OF COLUMBIA 98,204050001,,,,R499,SUPPORT- PROFESSIONAL: OTHER,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72051924F50012&modNumber=0&idvAgencyID=&idvPIID=72051924A00010&contractType=AWARD
3/1/25,USAID,CLARO MISSION CELLPHONE SERVICE 2024-2025,"$60,438 ",Purchase Order,Final,72051424P00063,P00001,OTHER ADMINISTRATIVE ACTION,1/23/25,7200,720514,USAID/COLOMBIA,WLLUD33H4LH6,COMUNICACION CELULAR S A COMCE,,110931,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Individual or concern, other than one of the preceding",,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PR,517121,TELECOMMUNICATIONS RESELLERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72051424P00063&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The contractor shall support the U.S. Agency for International
Development, Bureau of Legislative and Public Affairs with
information documentation, video/audio editing and transcription","$60,000 ",Delivery/Task Order,Final,7200AA24M00013,0,,8/23/24,7200,7200AA,USAID M/OAA,SZEHJV7MN8V1,"NATIONAL CAPITOL CONTRACTING, LL",VIRGINIA 11,221023334,"Corporate Entity, Not Tax Exempt",,DoT Certified Disadvantaged Business Enterprise,R603,SUPPORT- ADMINISTRATIVE: TRANSCRIPTION,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=7200AA24M00013&modNumber=0&idvAgencyID=&idvPIID=47QTCA22D007S&contractType=AWARD
3/1/25,USAID,To commit OE funds to procure 60 curve monitors for Fiji staff.,"$60,000 ",Purchase Order,Final,72049224P00136,0,,9/24/24,7200,720492,USAID/PHILIPPINES,ZG8PLF5N4NL1,INTELLECTECHS INC,VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",7520,OFFICE DEVICES AND ACCESSORIES,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURIN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72049224P00136&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"To provide Passenger Van Services for USAID/Sudan in
Nairobi/Kenya - Administrative Modification only. To reflect
amended hours: Core hours of 0600 - 1800
ft d t h (b d 1800) ith h l t f $25 00","$60,000 ",Purchase Order,Final,72066724P00001,P00002,OTHER ADMINISTRATIVE ACTION,3/18/24,7200,720667,USAID/SUDAN,PAYGFML5WT38,WHITEFLINT TRAVEL LIMITED,,,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation",,,2310,PASSENGER MOTOR VEHICLES,532111,PASSENGER CAR RENTAL,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066724P00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,English & Spanish Lang Prg 2nd OpYr under BPA 72052022A00001,"$59,865 ",BPA Call,Final,72052024F50011,0,,9/23/24,7200,720520,USAID/GUATEMALA,J2FGPN36VDQ3,"INTERNATIONAL BUSINESS ACADEMY,",,01004,"Corporate Entity, Not Tax Exempt",,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,611630,LANGUAGE SCHOOLS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052024F50011&modNumber=0&idvAgencyID=&idvPIID=72052022A00001&contractType=AWARD
3/1/25,USAID,"The Task Order is to procure iPhone 15 Pro Max for USAID South
Sudan Mission use","$59,451 ",Delivery/Task Order,Final,72066824F00001,0,,7/31/24,7200,720668,USAID/SOUTH SUDAN,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066824F00001&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,"Multi Function printers maintenance service contract, including
parts.","$58,241 ",Purchase Order,Final,72067423P00147,P00001,OTHER ADMINISTRATIVE ACTION,7/11/24,7200,720674,USAID/SOUTH AFRICA,EPSTRWNKGKD5,LFP REPAIRS (PTY) LTD,,0081,"Corporate Entity, Not Tax Exempt","Individual or concern, other than one of the preceding",,7D20,IT AND TELECOM - SERVICE DELIVERY MANAGEMEN,811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQ,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067423P00147&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Acquisition of Security Upgrades for R12 (L387) Mugumo Crescent-
(Limit 250 characters)
USAID/Sudan MD residence. CCTV cameras from vendor is Compass
Current: 139
Technologies","$58,000 ",Purchase Order,Final,72066724P00004,P00001,OTHER ADMINISTRATIVE ACTION,9/30/24,7200,720667,USAID/SUDAN,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,98,204050001,For Profit Organization,,,6710,"CAMERAS, MOTION PICTURE",561210,FACILITIES SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066724P00004&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Assistance 201 Course,"$57,690 ",BPA Call,Final,720072012124F50011,P00001,OTHER ADMINISTRATIVE ACTION,11/29/24,7200,720121,USAID/UKRAINE,V71FRUGWJMM3,ENCOMPASS LLC,MARYLAND 08,209105644,"Corporate Entity, Not Tax Exempt","Women-Owned Business
For Profit Organization
Subchapter S Corporation",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72012124F50011&modNumber=P00001&idvAgencyID=&idvPIID=7200AA22A00006&contractType=AWARD
3/1/25,USAID,Apple Mobility Mobile Device IDIQ,"$57,501 ",Delivery/Task Order,Final,72030624F00001,P00001,FUNDING ONLY ACTION,6/24/24,7200,720306,USAID/AFGHANISTAN,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72030624F00001&modNumber=P00001&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,Specialized Cleaning Services for Floor Surfaces and Carpet.,"$57,267 ",Purchase Order,Final,72067423P00215,P00003,OTHER ADMINISTRATIVE ACTION,8/30/24,7200,720674,USAID/SOUTH AFRICA,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,S214,HOUSEKEEPING- CARPET LAYING/CLEANING,561740,CARPET AND UPHOLSTERY CLEANING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067423P00215&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Purchase 2 X Utility Vehicles for Operation Management,"$57,199 ",Purchase Order,Final,72067424P00085,0,,9/19/24,7200,720674,USAID/SOUTH AFRICA,R5NWZ87HPLX4,GPC CONSOLIDATED REPORTING,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,2320,"TRUCKS AND TRUCK TRACTORS, WHEELED",532120,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL V",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067424P00085&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Apple Mobility Mobile Device IDIQ,"$56,776 ",Delivery/Task Order,Final,72068724F00001,0,,9/20/24,7200,720687,USAID/MADAGASCAR,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72068724F00001&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,Intellechtechs - OCONUS Mobility - USAID Missions,"$56,749 ",Delivery/Task Order,Final,72068723F00001,P00001,EXERCISE AN OPTION,9/27/24,7200,720687,USAID/MADAGASCAR,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",7E21,IT AND TELECOM - MOBILE DEVICE PRODUCTS (HAR,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72068723F00001&modNumber=P00001&idvAgencyID=&idvPIID=72MC1022D00002&contractType=AWARD
3/1/25,USAID,50 qty - iPhone 14 128GB w/Screen Protector and case kit,"$56,629 ",Delivery/Task Order,Final,72048624F00006,0,,7/22/24,7200,720486,USAID/RDMA/THAILAND,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048624F00006&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,Light truck for REXO Operations team_OE funding.,"$56,089 ",Purchase Order,Final,72067424P00136,0,,9/26/24,7200,720674,USAID/SOUTH AFRICA,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),DISTRICT OF COLUMBIA 98,204050001,,,,2310,PASSENGER MOTOR VEHICLES,423110,AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHA,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067424P00136&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"- 15 photo collections of minimum 30 photographs each
(Limit 250 characters)
- 15 ""long videos"" (two to three minutes each)
Current: 138
- 30 reels (of 15 to 30 seconds each)","$55,100 ",Purchase Order,Final,72052325P00001,P00001,OTHER ADMINISTRATIVE ACTION,11/20/24,7200,720523,USAID/MEXICO,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,T006,PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE,423410,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCH,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052325P00001&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"ENV: Request to add another $41,732.00 to fully fund contract
of Mr. Donald Tambunan through July 2025
Current: 103","$55,069 ",Purchase Order,Final,72049724P00036,P00001,FUNDING ONLY ACTION,8/26/24,7200,720497,USAID/INDONESIA,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICA,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72049724P00036&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The purpose of this Modification is to Exercise Option Year One
(Limit 250 characters)
for the PO 72065623P00039 (Sogitel Sociedade de Gestao Imobiliaria
Current: 250
Lda.). Thereby extending the period of performance for 12 months","$55,030 ",Purchase Order,Final,72065623P00039,P00001,EXERCISE AN OPTION,9/3/24,7200,720656,USAID/MOZAMBIQUE,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,561720,JANITORIAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72065623P00039&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Local Works Hygiene Promotion Activity,"$55,000 ",Purchase Order,Final,72027924P00003,P00001,OTHER ADMINISTRATIVE ACTION,8/5/24,7200,720279,USAID/YEMEN,LPARP4G8KQR1,BENA CHARITY FOR HUMAN DEVELOP,,,Non Profit Organization,,,R499,SUPPORT- PROFESSIONAL: OTHER,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72027924P00003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Translation services.,"$54,712 ",Purchase Order,Final,72012119P00028,P00014,OTHER ADMINISTRATIVE ACTION,12/9/24,7200,720121,USAID/UKRAINE,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72012119P00028&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"To increase TEC by $4,500 to cater for additional works in the
original PO.","$54,500 ",Purchase Order,Final,72066823P00109,P00002,FUNDING ONLY ACTION,11/26/24,7200,720668,USAID/SOUTH SUDAN,KQX1S6N3DXM5,MAGAGA ENTERPRISES LTD,,,Sole Proprietorship,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066823P00109&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The purpose of this modification is to add the PO clauses. The
(Limit 250 characters) original PO items remain the same.","$54,340 ",Purchase Order,Final,72063624P00004,P00001,OTHER ADMINISTRATIVE ACTION,9/30/24,7200,720636,USAID/SIERRA LEONE,ZG8PLF5N4NL1,INTELLECTECHS INC,VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",7510,OFFICE SUPPLIES,459410,OFFICE SUPPLIES AND STATIONERY RETAILERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72063624P00004&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Modification of purchase order # 72061225P00014 for SI Advisor
(Limit 250 characters)individual consultancy to do the following: (i)Showing lodging and
Current: 201
MEI separate, (ii) indicate payment schedule to be after every 30
d","$54,095 ",Purchase Order,Final,72061225P00014,P00001,OTHER ADMINISTRATIVE ACTION,12/30/24,7200,720612,USAID/MALAWI,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061225P00014&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Forrester Decisions Leader Subscription,"$53,923 ",Delivery/Task Order,Final,72MC1024M00003,0,,11/30/23,7200,72MC10,USAID M/CIO,NLUTK3FEDPB8,"FORRESTER RESEARCH, INC.",MASSACHUSETTS 07,021402303,"Corporate Entity, Not Tax Exempt",,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72MC1024M00003&modNumber=0&idvAgencyID=&idvPIID=47QTCA18D001C&contractType=AWARD
3/1/25,USAID,Renewal of GIS annual subscription Licenses for USAID Malawi staff,"$53,914 ",Purchase Order,Final,72061224P00022,0,,3/11/24,7200,720612,USAID/MALAWI,WUK9A5UR33S7,ENVIRONMENTAL SYSTEMS RESEARC,CALIFORNIA 23,923738118,"Corporate Entity, Not Tax Exempt",,,R499,SUPPORT- PROFESSIONAL: OTHER,921190,OTHER GENERAL GOVERNMENT SUPPORT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061224P00022&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The contractor will perform 11 financial audits under the
(Limit 250 characters)USAID mission awards.","$53,180 ",Purchase Order,Final,72029424P00025,P00002,FUNDING ONLY ACTION,9/30/24,7200,720294,USAID/WEST BANK GAZA,QQZCL77UKYK4,ERNST & YOUNG - MIDDLE EAST,,,Partnership or Limited Liability Partnership,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72029424P00025&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,35 iPhones OE(14) PRG (21) + shipping,"$52,440 ",Delivery/Task Order,Final,72052024N00001,P00001,OTHER ADMINISTRATIVE ACTION,12/4/24,7200,720520,USAID/GUATEMALA,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052024N00001&modNumber=P00001&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,"UON and USAID Fahari ya Jamii activity - Mission Contracted
(Limit 250 characters)","$52,081 ",Purchase Order,Final,72061524P00085,0,,9/26/24,7200,720615,AMER EMBASSY NAIROBI - USAID/KENYA,JH7ANFUN6XW3,DELOITTE & TOUCHE LLP,,,Partnership or Limited Liability Partnership,,,R704,SUPPORT- MANAGEMENT: AUDITING,561990,ALL OTHER SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061524P00085&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Conduct a forensic audit of USAID resources managed by UWESO, under
(Limit 250 characters)the USAID Uganda Orphans and Vulnerable Children North-East (OVC-
Current: 245
NE) activity, cooperative agreement No. 72061722CA00004 for the
i d S t b 30 2022 t S t b 30 2024","$51,573 ",BPA Call,Final,72061725F50006,0,,11/27/24,7200,720617,USAID/UGANDA,EAXJMD2JJBE5,DELOITTE UGANDA LTD,,10314,"Corporate Entity, Not Tax Exempt",,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061725F50006&modNumber=0&idvAgencyID=&idvPIID=72061721A00002&contractType=AWARD
3/1/25,USAID,"40 units of iPhone 13 (256 GB) & accessories & delivery charge for
(Limit 250 characters)
USAID/RDMA & ARTC","$51,100 ",Delivery/Task Order,Final,72048624F00001,0,,12/26/23,7200,720486,USAID/RDMA/THAILAND,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048624F00001&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
