Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
SMALL BUSINESS ADMINISTRATION,"[Contract for expired Shuttered Venue Program] THE CONTRACT SHALL PROVIDE SUPPORT FOR RISK ASSESSMENTS, PROGRAMMATIC AND FISCAL MONITORING, DATA COLLECTION, AND REPORTING, AS WELL AS PROVIDING OVERSIGHT FOR PROGRAM EXECUTION AND ENSURING COMPLIANCE WITH REGULATIONS AS IDENTIFIED IN THE STATEMENT",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351023C0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$457,352 ",Definitive Contract,Final,73351023C0021,P00001,EXERCISE AN OPTION,9/9/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,MWYBWXU9ZGB9,"RED CEDAR CONSULTANCY, LLC",VIRGINIA 10,201763373,Partnership or Limited Liability Partnership,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",9/20/23,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"The contract shall provide support for risk assessments,
programmatic and fiscal monitoring, data collection, and reporting,
as well as providing oversight for program execution and ensuring",
SMALL BUSINESS ADMINISTRATION,Cloud provider for SFDC license that enabled RER Solutions,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351021F0220&modNumber=P00010&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,"$17,983,625 ",Delivery/Task Order,Final,73351021F0220,P00010,FUNDING ONLY ACTION,8/29/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737610,OFC OF ENTREPRENEURIAL DEVELOPMEN,DJACUETFQUL8,"GOVSMART, INC.",VIRGINIA 05,229035203,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",9/29/21,,,DD01,IT AND TELECOM - SERVICE DELIVERY SUPPORT SE,541519,OTHER COMPUTER RELATED SERVICES,"The purpose of Modification P00010 - Add funding for travel
(Limit 250 characters)",
SMALL BUSINESS ADMINISTRATION,"Financial Accounting, Quality Assurance, and Financial Reporting Services exercise",2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351023F0057&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA20D001V&contractType=AWARD,"$4,493,319 ",Delivery/Task Order,Final,73351023F0057,P00002,EXERCISE AN OPTION,4/9/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,733510,OFC OF PERF MGMT AND CFO,F8LFVULHEC94,"SAVALAN, LLC",DISTRICT OF COLUMBIA 98,200073772,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Minority-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",4/19/23,,,R703,SUPPORT- MANAGEMENT: ACCOUNTING,541219,OTHER ACCOUNTING SERVICES,"The purpose of P00002 is to exercise option period 1; change the CO
from Jamie McPherson to Jeff Meyer and COR from Sunil Varghese to
Current: 198
Sharon Kirkley. All other terms and conditions remain unchanged.",
SMALL BUSINESS ADMINISTRATION,Consulting to help achieve a clean audit,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351024F0030&modNumber=P00002&idvAgencyID=&idvPIID=73351021A0003&contractType=AWARD,"$3,584,451 ",BPA Call,Final,73351024F0030,P00002,OTHER ADMINISTRATIVE ACTION,10/8/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737011,OFC OF CREDIT RISK MANAGEMENT,SMRMCY16TLL8,"WILLIAMS, ADLEY & COMPANY - DC, LL",DISTRICT OF COLUMBIA 98,200051503,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned",,4/9/24,,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,"The purpose of this modification is to change the CO from Nikeena
Brown to Angel Butler.",
SMALL BUSINESS ADMINISTRATION,Consulting to help achieve a clean audit,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351025F0015&modNumber=P00001&idvAgencyID=&idvPIID=73351021A0003&contractType=AWARD,"$2,307,255 ",BPA Call,Final,73351025F0015,P00001,OTHER ADMINISTRATIVE ACTION,1/21/25,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737011,OFC OF CREDIT RISK MANAGEMENT,SMRMCY16TLL8,"WILLIAMS, ADLEY & COMPANY - DC, LL",98,200365727,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned",,1/17/25,,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,Change COR from Nichole Hinds to Nikita Alexander.,
SMALL BUSINESS ADMINISTRATION,QA for pandemic controls and processes,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351023F0039&modNumber=P00003&idvAgencyID=&idvPIID=GS35F0212U&contractType=AWARD,"$1,903,168 ",Delivery/Task Order,Final,73351023F0039,P00003,OTHER ADMINISTRATIVE ACTION,9/27/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737010,OFC OF CAPITAL ACCESS,H8YMWAKEKPN5,"ARDENT MANAGEMENT CONSULTING,",VIRGINIA 11,221823983,,,,5/8/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,CO Change Mod,
SMALL BUSINESS ADMINISTRATION,Legacy COVID / EIDL before it moved to Cap Access,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351023P0032&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,593,303 ",Purchase Order,Final,73351023P0032,P00001,EXERCISE AN OPTION,5/3/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,733510,OFC OF PERF MGMT AND CFO,P4MHKKAKEMD7,"RENNEL TECH, INC.",MARYLAND 06,208785850,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",7/13/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Exercise Option Period 1 - Mongoose Support,
SMALL BUSINESS ADMINISTRATION,Shuttered Venue Operators Grant (SVOG) auditing services in support of the Office of Disaster Assistance (ODA).,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351022F0034&modNumber=P00008&idvAgencyID=&idvPIID=73351020A0013&contractType=AWARD,"$731,172 ",BPA Call,Final,73351022F0034,P00008,OTHER ADMINISTRATIVE ACTION,9/27/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,733510,OFC OF PERF MGMT AND CFO,SMRMCY16TLL8,"WILLIAMS, ADLEY & COMPANY - DC, LL",DISTRICT OF COLUMBIA 98,200055945,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned",,3/17/22,,,R704,SUPPORT- MANAGEMENT: AUDITING,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,"CO Change Mod
(Limit 250 characters)
Shuttered Venue Operators Grant (SVOG) auditing services",
SMALL BUSINESS ADMINISTRATION,COVID / EIDL Credit Scores,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351024F0056&modNumber=P00001&idvAgencyID=&idvPIID=73351021A0017&contractType=AWARD,"$686,039 ",BPA Call,Final,73351024F0056,P00001,OTHER ADMINISTRATIVE ACTION,7/19/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737010,OFC OF CAPITAL ACCESS,J24MW8EKHC15,"TRUENORTH, LLC",MARYLAND 06,208785789,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Women-Owned Business
Women-Owned Small Business",,9/30/24,,,B547,SPECIAL STUDIES/ANALYSIS- ACCOUNTING/FINANCI,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"To update the contracting officer from Nikeena Brown to Jamie
(Limit 250 characters)
McPherson
Current: 198
Credit Scoring and Risk Analysis Services in response to COVID-19
ti iti i d f f 09/30/2024 t 09/29/2025",
SMALL BUSINESS ADMINISTRATION,Consulting to help achieve a clean audit,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351022F0044&modNumber=P00008&idvAgencyID=&idvPIID=73351020A0013&contractType=AWARD,"$675,222 ",BPA Call,Final,73351022F0044,P00008,OTHER ADMINISTRATIVE ACTION,9/27/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,SMRMCY16TLL8,"WILLIAMS, ADLEY & COMPANY - DC, LL",DISTRICT OF COLUMBIA 98,200055945,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned",,3/30/22,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,CO Change Mod,
SMALL BUSINESS ADMINISTRATION,Communications for COVID / EIDL borrowers,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351022F0186&modNumber=P00003&idvAgencyID=&idvPIID=GS00F181GA&contractType=AWARD,"$646,026 ",Delivery/Task Order,Final,73351022F0186,P00003,EXERCISE AN OPTION,4/19/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,732550,OFC OF COMM AND PUBLIC LIAISON,MG75EJJPLFZ7,RED CARROT INC,FLORIDA 26,331361128,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",9/15/22,,,R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,541613,MARKETING CONSULTING SERVICES,"Modification P0003 issued to 73351022F0186 for the following:
(Limit 250 characters)
1) Exercise Option Period 2",
SMALL BUSINESS ADMINISTRATION,NGPC - guaranty purchase reviews,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351022P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$365,369 ",Purchase Order,Final,73351022P0014,P00003,OTHER ADMINISTRATIVE ACTION,4/21/23,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737080,OFC OF INTERNATIONAL TRADE,NY5CBEXJJL16,"RP PROFESSIONAL SERVICES, LLC",VIRGINIA 10,201474294,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",5/11/22,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,State Trade Export Program (STEP) Support Services,
SMALL BUSINESS ADMINISTRATION,Consulting to help achieve a clean audit,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351024F0149&modNumber=P00001&idvAgencyID=&idvPIID=73351021A0003&contractType=AWARD,"$305,700 ",BPA Call,Final,73351024F0149,P00001,OTHER ADMINISTRATIVE ACTION,10/7/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737011,OFC OF CREDIT RISK MANAGEMENT,SMRMCY16TLL8,"WILLIAMS, ADLEY & COMPANY - DC, LL",DISTRICT OF COLUMBIA 98,200365727,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned",,4/1/21,,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,The purpose of this admin mod is to update the PoP.,
SMALL BUSINESS ADMINISTRATION,call center modification,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351024C0044&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$180,000 ",Definitive Contract,Final,73351024C0044,0,,9/27/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,737080,OFC OF INTERNATIONAL TRADE,UA16ZXLPQWY6,GOLDSCHMITT AND ASSOCIATES LLC,VIRGINIA 11,201941113,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business, Veteran-Owned Business, Self-Certified Small Disadvantaged Business, Self-Certified HUBZone Joint Venture","SBA Certified 8(a) Program Participant, SBA Certified HUBZone Firm",9/30/24,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"8(a) Direct Award to obtain STEP Financial Exams for the Office of
(Limit 250 characters)
International Trade, Small Business Administration.",
SMALL BUSINESS ADMINISTRATION,Communications for COVID / EIDL borrowers,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7300&PIID=73351024F0146&modNumber=0&idvAgencyID=&idvPIID=GS00F181GA&contractType=AWARD,"$147,798 ",Delivery/Task Order,Final,73351024F0146,0,,9/25/24,7300,733510,OFC OF PERF MGMT AND CFO,7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,MG75EJJPLFZ7,RED CARROT INC,FLORIDA 26,331361128,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",9/30/24,,,R701,SUPPORT- MANAGEMENT: ADVERTISING,541613,MARKETING CONSULTING SERVICES,INTERNET-BASED COMMUNICATIONS WEB SUBSCRIPTION SERVICE,
SOCIAL SECURITY ADMINISTRATION,"CONVENE AND MODERATE FOCUS GROUPS TO HELP IDENTIFY STRUCTURAL BARRIERS TO WOMENS FINANCIAL ADVANCEMENT, DESIGN SOLUTIONS TO OVERCOMING THESE BARRIERS, AND TO BETTER ADDRESS LABOR MARKET DISPARITIES AND IMPROVE RETIREMENT OUT",1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321324FA0010138&modNumber=P00002&idvAgencyID=&idvPIID=28321324A00040005&contractType=AWARD,"$419,022 ",BPA Call,Final,2800 28321324FA0010138,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,VNAYDLRGSKU3,"URBAN INSTITUTE,THE",DISTRICT OF COLUMBIA 98,200242131,"Corporate Entity, Tax Exempt",,,5/24/24,,BLANKET PURCHASE,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Complete Termination for the Convenience of the Government,
SOCIAL SECURITY ADMINISTRATION,Consultant services to provide support for the agencys sustainability program and associated reporting requirements,2/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321320FDX030230&modNumber=P00006&idvAgencyID=&idvPIID=GS00F010CA&contractType=AWARD,"$288,632 ",Delivery/Task Order,Final,28321320FDX030230,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",VIRGINIA 11,201905231,"For Profit Organization
Limited Liability Corporation",,,6/22/20,,SUSTAINABILITY CON,F115,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRON,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"The purpose of this modification is to completely terminate the
(Limit 250 characters)
Task Order for the Convenience of the Government.",
SOCIAL SECURITY ADMINISTRATION,"Four (4) Politico PRO Plus annual licenses, through period of performance: 11/15/2024 - 11/14/2025",2/13/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321325P00050015&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$14,000 ",Purchase Order,Final,28321325P00050015,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,11/15/24,,SMALL PURCHASES 2,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,513110,NEWSPAPER PUBLISHERS,"Four (4) Politico PRO Plus annual licenses - modification to
(Limit 250 characters)",
SOCIAL SECURITY ADMINISTRATION,Disability Research Surveys (DRS) Task 3 - Children and Youth SSI Recipient Survey,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321324FDS030098&modNumber=P00001&idvAgencyID=&idvPIID=28321322D00060011&contractType=AWARD,"$10,685,992 ",Delivery/Task Order,Final,2800 28321324FDS030098,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,T41EGEAK2L35,MATHEMATICA INC.,NEW JERSEY 12,085406346,"Corporate Entity, Not Tax Exempt",,,9/30/24,,DISABILITY RESEARC,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIE,"Children and Youth SSI Recipient Survey (CYSRS) Modification 1. The
purpose of this modification is to terminate the task order for the
Convenience of the Government.",
SOCIAL SECURITY ADMINISTRATION,New Applicant Survey Task Order,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321322FDS030150&modNumber=P00003&idvAgencyID=&idvPIID=28321322D00060011&contractType=AWARD,"$7,373,252 ",Delivery/Task Order,Final,2800 28321322FDS030150,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,T41EGEAK2L35,MATHEMATICA INC.,NEW JERSEY 12,085406346,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",,,8/15/22,,NEW APPLICANT SUR,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIE,"New Application Survey Modification 3. The purpose of this
modification is to terminate the Task Order for the Convenience of
the Government.",
SOCIAL SECURITY ADMINISTRATION,"The contractor shall provide support to advance the capabilities of the agency’s Customer Experience (CX) program, through both maturing the agency’s foundational customer experience framework and implementation of CX practices to identify, recommend, and implement specific enhancements to the agency’s IT, policy, and/or business practices to improve the customer experience",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321324FDX030257&modNumber=P00001&idvAgencyID=&idvPIID=FA800322G0001&contractType=AWARD,"$3,303,011 ",Delivery/Task Order,Final,2800 28321324FDX030257,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,FTEMBMQ3SGR5,"JJR SOLUTIONS, LLC",OHIO 10,454022120,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/27/24,,,R499,SUPPORT- PROFESSIONAL: OTHER,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, E","Human Systems Integration and Customer Experience Execution Support
Services. Modification to Terminate completely for the Government's
convenience.",
SOCIAL SECURITY ADMINISTRATION,"OBTAIN CONTRACTOR SERVICES FOR A TECHNICAL EXPERT PANEL (TEP) FOR AGE-18 REDETERMINATIONS TO PROVIDE INDEPENDENT, INFORMED RECOMMENDATIONS ABOUT POTENTIAL INTERVENTIONS FOR LEGAL SUPPORT DURING THE AGE-18 REDETERMINATION.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321324FA0010234&modNumber=P00001&idvAgencyID=&idvPIID=28321324A00040003&contractType=AWARD,"$198,236 ",BPA Call,Final,28321324FA0010234,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,C9S1NLQ67626,"ABT ASSOCIATES, INC.",MARYLAND 08,208524907,"Corporate Entity, Not Tax Exempt, For Profit Organization, Subchapter S Corporation",,,8/8/24,,BLANKET PURCHASE,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Contractor services for a Technical Expert Panel (TEP) for Age-18
(Limit 250 characters)
Redeterminations. Complete Termination for the Convenience of the
Government",
SOCIAL SECURITY ADMINISTRATION,National Beneficiary Survey,2/19/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321322FDS030030&modNumber=P00006&idvAgencyID=&idvPIID=28321322D00060011&contractType=AWARD,"$6,439,159 ",Delivery/Task Order,Final,2800 28321322FDS030030,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,T41EGEAK2L35,MATHEMATICA INC.,NEW JERSEY 12,085406346,"Corporate Entity, Not Tax Exempt
Subchapter S Corporation",,,12/21/21,,NATIONAL BENEFICIA,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIE,"National Beneficiary Survey - Modification 6 for complete
termination of the task order for the Convenience of the
Government.",
SOCIAL SECURITY ADMINISTRATION,"Professional Support Services for the Office of Strategy, Learning, and Workforce Development (OSLWD).",2/19/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321322FA0010299&modNumber=P00007&idvAgencyID=&idvPIID=28321319A00040016&contractType=AWARD,"$2,330,590 ",BPA Call,Final,2800 28321322FA0010299,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,K5DVUN4SFMF4,"BOOTH MANAGEMENT CONSULTING, L",MARYLAND 03,210463249,,"Minority-Owned Business
Black American Owned
Women-Owned Business","SBA Certified Small Disadvantaged Business
SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",8/10/22,,SSA PROFESSIONAL S,R499,SUPPORT- PROFESSIONAL: OTHER,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,"Professional Support Services for the Office of Strategy, Learning,
and Workforce Development (OSLWD). Modification 7. The purpose of
this modification is to terminate the Call Order for the",
SOCIAL SECURITY ADMINISTRATION,"DISABILITY ANALYSIS FILE (DAF) CONSTRUCTION: THE CONTRACTOR WILL BE DEVELOPING THE DISABILITY ANALYSIS FILE, MAKING SIGNIFICANT ADJUSTMENTS TO THE FILE STRUCTURE AND PROCESSING TO ENSURE GREATER EFFICIENCIES AND DISCLOSURE PROTECTIONS",2/19/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2800&PIID=28321325FDS030019&modNumber=P00002&idvAgencyID=&idvPIID=28321322D00060010&contractType=AWARD,"$1,299,051 ",Delivery/Task Order,Final,2800 28321325FDS030019,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,2800,283213,SSA OFC OF ACQUISITION GRANTS,2800,SOCIAL SECURITY ADMINISTRATION,283213,SSA OFC OF ACQUISITION GRANTS,UJMMR3K2CDK6,MATHEMATICA INC.,DISTRICT OF COLUMBIA 98,200024893,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",,,1/23/25,,CONSTRUCTION OF T,B599,SPECIAL STUDIES/ANALYSIS- OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Disability Analysis File (DAF) Construction: Complete Termination
for the convenience of the Government",
